               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.096578,            0.031888,            0.087453,                   0,                   0,                   0,                   0,            0.080974,            0.017274,            0.081832,            0.070306,           0.0032993,           0.0032993
                   1,            0.086024,            0.034528,             0.08727,            0.001187,           0.0093717,          0.00061211,          0.00019167,                 nan,                 nan,              1.2057,             0.04024,            0.006567,            0.006567
                   2,            0.082106,            0.035756,            0.084831,           0.0025778,            0.023227,           0.0028167,          0.00083096,            0.070373,            0.018125,            0.085671,            0.010109,           0.0097687,           0.0097687
                   3,            0.077592,            0.034825,            0.082132,          0.00054735,             0.05498,          0.00058505,          0.00013564,            0.073021,            0.021944,             0.10319,            0.009703,            0.009703,            0.009703
                   4,            0.073434,            0.037006,             0.07841,            0.015333,              0.1833,            0.012276,           0.0027693,            0.069706,            0.025607,            0.075166,            0.009703,            0.009703,            0.009703
                   5,            0.070733,            0.036355,            0.074092,           0.0083709,             0.28149,            0.011019,           0.0029255,            0.063217,            0.019433,            0.073939,            0.009604,            0.009604,            0.009604
                   6,            0.067033,            0.037261,            0.070493,             0.57273,            0.055308,            0.020433,           0.0057369,            0.064249,            0.020183,            0.069411,            0.009505,            0.009505,            0.009505
                   7,            0.063569,             0.03735,            0.067242,           0.0082446,              0.1985,            0.010582,           0.0027259,            0.073708,            0.020095,            0.075397,            0.009406,            0.009406,            0.009406
                   8,            0.062326,            0.037047,            0.064355,             0.66297,            0.076021,            0.061446,            0.021587,            0.056327,            0.019411,            0.065806,            0.009307,            0.009307,            0.009307
                   9,            0.060494,            0.036491,            0.063365,             0.60368,            0.080019,            0.073567,            0.021363,            0.055453,            0.019181,             0.06357,            0.009208,            0.009208,            0.009208
                  10,            0.057911,             0.03576,            0.061861,              0.7658,             0.12216,            0.092983,             0.03667,            0.053121,            0.018177,             0.06205,            0.009109,            0.009109,            0.009109
                  11,            0.056616,            0.035613,            0.060905,              0.4409,             0.13119,             0.10394,            0.041221,            0.048979,            0.018717,            0.060725,             0.00901,             0.00901,             0.00901
                  12,            0.055867,            0.034664,            0.059292,             0.53352,             0.12563,             0.11314,            0.044017,            0.052223,            0.017827,              0.0584,            0.008911,            0.008911,            0.008911
